Experiment,Model,Prediction Variant,Feature Count,MAE,RMSE,R2
Baseline With-Time,XGBoost,"Clipped [0,100]",18,16.302256945988663,20.576374478882588,0.26036192381561674
Engineered With-Time,XGBoost,"Clipped [0,100]",32,16.20159882222829,20.59495229457929,0.2590257250611695
Engineered With-Time,Random Forest,"Clipped [0,100]",32,16.36913749225355,20.683873219011296,0.2526134395569454
Baseline With-Time,Random Forest,"Clipped [0,100]",18,16.520659303756368,20.707796481726756,0.25088356382872157
Engineered With-Time,Linear Regression,"Clipped [0,100]",32,18.335150292241757,22.700190773595025,0.0997967761519093
Baseline With-Time,Linear Regression,"Clipped [0,100]",18,18.633607075416602,22.913068363122186,0.08283377865033903
Engineered No-Time,XGBoost,"Clipped [0,100]",26,19.563435809871333,22.963481872093784,0.07879342640065667
Engineered No-Time,Random Forest,"Clipped [0,100]",26,19.812843483275376,23.179309564726037,0.06139569660462829
Engineered No-Time,Linear Regression,"Clipped [0,100]",26,21.6722458219083,24.733624027773548,-0.06870307635367379
Baseline With-Time,XGBoost,Raw,18,16.313207854634246,20.57957188127152,0.26013203839056875
Engineered With-Time,XGBoost,Raw,32,16.212925894497896,20.59806594993043,0.25880165919434894
Engineered With-Time,Random Forest,Raw,32,16.36913749225355,20.683873219011296,0.2526134395569454
Baseline With-Time,Random Forest,Raw,18,16.520659303756368,20.707796481726756,0.25088356382872157
Engineered With-Time,Linear Regression,Raw,32,18.335150292241757,22.700190773595025,0.0997967761519093
Baseline With-Time,Linear Regression,Raw,18,18.633607075416602,22.913068363122186,0.08283377865033903
Engineered No-Time,XGBoost,Raw,26,19.56612276423395,22.965433171638598,0.0786368624831909
Engineered No-Time,Random Forest,Raw,26,19.812843483275376,23.179309564726037,0.06139569660462829
Engineered No-Time,Linear Regression,Raw,26,21.672607611004366,24.733921648742104,-0.06872879602645576
