Feature,Importance
decade_2000,0.15090207755565643
release_year,0.109408438205719
decade_1990,0.09178440272808075
decade_1920,0.0883139967918396
decade_2010,0.0876217857003212
decade_1950,0.07222118228673935
release_month_12.0,0.04642029479146004
decade_1960,0.04519868269562721
decade_1980,0.03226674348115921
decade_1970,0.030548159033060074
acousticness,0.027166707441210747
decade_1930,0.025493131950497627
explicit,0.023850372061133385
instrumentalness,0.018219977617263794
release_month_1.0,0.011664935387670994
release_precision_month,0.009646863676607609
loudness,0.009299904108047485
duration_min,0.008333948440849781
decade_1940,0.007278705481439829
energy,0.005686653777956963
mode,0.005072008352726698
release_precision_year,0.004737512674182653
key_1,0.004679140634834766
release_precision_day,0.004557561594992876
speechiness,0.004385565873235464
danceability,0.0041254665702581406
release_month_10.0,0.003974774852395058
valence,0.0038943730760365725
key_6,0.003812905866652727
tempo,0.003811259986832738
key_8,0.003764943452551961
liveness,0.003730572760105133
release_month_11.0,0.00345057831145823
release_month_9.0,0.003379157278686762
release_month_3.0,0.0031798260752111673
release_month_8.0,0.0030982608441263437
time_signature_4.0,0.0028506084345281124
time_signature_3.0,0.002618961501866579
release_month_2.0,0.0025814587716013193
key_9,0.002311709336936474
release_month_6.0,0.0022935434244573116
release_month_7.0,0.0021085692569613457
key_7,0.0020803934894502163
key_2,0.00198541022837162
key_11,0.0019334208918735385
key_4,0.0019134008325636387
release_month_4.0,0.0018485996406525373
key_5,0.0017834926256909966
release_month_5.0,0.0017583899898454547
key_10,0.0016815857961773872
time_signature_5.0,0.0015982857439666986
key_0,0.0014282331103459
key_3,0.0013130196603015065
time_signature_1.0,0.0009300220408476889
decade_1900,0.0
