decade,cluster,Rows,Share Within Decade
1900,0,1,1.0
1920,0,918,0.12063074901445467
1920,1,4808,0.6318002628120893
1920,2,1884,0.247568988173456
1930,0,2017,0.15471350770882872
1930,1,9199,0.7056071182020404
1930,2,1821,0.13967937408913095
1940,0,2035,0.11279237335106973
1940,1,15358,0.8512360048775081
1940,2,649,0.035971621771422234
1950,0,6443,0.18216002261803788
1950,1,26850,0.7591178965224766
1950,2,2077,0.05872208085948544
1960,0,17578,0.3718637613708483
1960,1,28279,0.5982441294690078
1960,2,1413,0.029892109160143853
1970,0,33191,0.5367151242703061
1970,1,25138,0.40649407351110106
1970,2,3512,0.05679080221859284
1980,0,50316,0.611209640193387
1980,1,23732,0.28828259760452857
1980,2,8274,0.1005077622020845
1990,0,74162,0.681166475315729
1990,1,29343,0.2695109070034443
1990,2,5370,0.04932261768082664
2000,0,69769,0.803410831289368
2000,1,15857,0.18259808155134097
2000,2,1215,0.013991087159291118
2010,0,87038,0.8270036581310276
2010,1,17514,0.1664117060192883
2010,2,693,0.006584635849684071
2020,0,17100,0.8457809872390939
2020,1,2945,0.1456622811356217
2020,2,173,0.0085567316252844
