Feature Group,Importance
decade,0.6316288677044213
release_year,0.109408438205719
release_month,0.08575838862452656
key,0.028687655925750732
acousticness,0.027166707441210747
explicit,0.023850372061133385
release_precision,0.01894193794578314
instrumentalness,0.018219977617263794
loudness,0.009299904108047485
duration_min,0.008333948440849781
time_signature,0.007997877721209079
energy,0.005686653777956963
mode,0.005072008352726698
speechiness,0.004385565873235464
danceability,0.0041254665702581406
valence,0.0038943730760365725
tempo,0.003811259986832738
liveness,0.003730572760105133
