Feature,Importance
release_year,0.14108406007289886
decade_1950,0.09440621733665466
decade_2000,0.09259569644927979
decade_1940,0.06540599465370178
decade_2010,0.060776710510253906
release_month_12.0,0.051726218312978745
decade_1990,0.03988330066204071
explicit,0.03930644318461418
decade_1930,0.0363490954041481
acousticness,0.031956929713487625
instrumentalness,0.026194734498858452
acoustic_energy_balance,0.01534570287913084
energy_vs_period_avg,0.014780082739889622
release_month_1.0,0.01412268728017807
duration_category_short,0.013153365813195705
tempo_category_fast,0.012502213008701801
energy_loudness,0.01225526724010706
duration_category_long,0.011658256873488426
release_precision_month,0.010964104905724525
duration_min,0.009453684091567993
decade_1980,0.009011929854750633
decade_1960,0.008617617189884186
decade_1920,0.008468203246593475
loudness,0.008380508050322533
mode,0.005892051383852959
decade_1970,0.005852969828993082
key_1,0.005801497492939234
release_precision_day,0.00509605510160327
release_precision_year,0.005092327948659658
release_month_10.0,0.004954939242452383
dance_vs_period_avg,0.0049297078512609005
duration_category_standard,0.004920555744320154
energy,0.004885195754468441
speechiness,0.004714863374829292
danceability,0.004584049340337515
key_6,0.004487164318561554
key_8,0.0043389578349888325
release_month_11.0,0.004193691071122885
liveness,0.004071327857673168
positive_energy,0.0040123676881194115
tempo,0.003979959990829229
valence,0.003976309671998024
acoustic_instrumental,0.003916500136256218
mood_quadrant_high_energy_dark,0.0038437179755419493
release_month_9.0,0.003829503897577524
release_month_3.0,0.0035545644350349903
dance_energy,0.003464651294052601
dance_valence,0.0033587391953915358
mood_quadrant_calm_dark,0.0033431118354201317
mood_quadrant_calm_positive,0.0031711675692349672
release_month_8.0,0.0030414003413170576
release_month_2.0,0.003030559979379177
time_signature_4.0,0.0028469236567616463
tempo_category_moderate,0.002767139347270131
release_month_6.0,0.002666712738573551
time_signature_3.0,0.0025834718253463507
key_3,0.002555025974288583
key_9,0.002549022901803255
key_2,0.002480278955772519
tempo_energy,0.002289761556312442
key_0,0.002202848205342889
tempo_category_slow,0.0021455134265124798
tempo_category_very_fast,0.002130734734237194
release_month_4.0,0.0021087401546537876
release_month_7.0,0.002102625323459506
key_11,0.0020937840454280376
key_4,0.0020800281781703234
release_month_5.0,0.002014114987105131
key_7,0.001982986694201827
key_10,0.0018977656727656722
key_sin,0.0018672342412173748
key_cos,0.0017958213575184345
mood_quadrant_high_energy_positive,0.0016719562700018287
key_5,0.001634453423321247
time_signature_5.0,0.001524715218693018
time_signature_1.0,0.0012714012991636992
decade_1900,0.0
