raw_input_field,raw_type,engineered_feature,selected_in_FS23,transformed_feature,mapping_status
duration_min,,duration_min,False,duration_min,CONFIRMED
explicit,,explicit,False,,CONFIRMED
release_year,,release_year,False,release_year,CONFIRMED
release_month,,release_month,False,release_month,CONFIRMED
decade,,decade,False,decade,CONFIRMED
release_precision,,release_precision,False,,CONFIRMED
danceability,,danceability,False,danceability,CONFIRMED
energy,,energy,False,energy,CONFIRMED
key,,key,False,,CONFIRMED
loudness,,loudness,False,loudness,CONFIRMED
mode,,mode,False,,CONFIRMED
speechiness,,speechiness,False,speechiness,CONFIRMED
acousticness,,acousticness,False,acousticness,CONFIRMED
instrumentalness,,instrumentalness,False,instrumentalness,CONFIRMED
liveness,,liveness,False,liveness,CONFIRMED
valence,,valence,False,valence,CONFIRMED
tempo,,tempo,False,tempo,CONFIRMED
time_signature,,time_signature,False,,CONFIRMED
