track_id,release_year,y_true,y_pred_raw,residual_raw,absolute_error_raw,model_id
46doqU89HXCjtvNJnC7P5v,2019,0,53.05538,-53.055381774902344,53.055381774902344,EXP24-XGB-FINAL-001
1QCpd9PQP7msvshreAaRyg,2016,0,51.85672,-51.856719970703125,51.856719970703125,EXP24-XGB-FINAL-001
3zXZ606TUZE8WBbGppX82E,2018,0,50.857014,-50.85701370239258,50.85701370239258,EXP24-XGB-FINAL-001
68NZfXQQVNa59N422unllk,2019,0,50.07455,-50.07455062866211,50.07455062866211,EXP24-XGB-FINAL-001
7HOkU7ho6zlFufUdpNEQ89,2014,0,49.669884,-49.669883728027344,49.669883728027344,EXP24-XGB-FINAL-001
2DXqRWJBoGv4L1ohd1myay,2018,0,49.575596,-49.57559585571289,49.57559585571289,EXP24-XGB-FINAL-001
01xtnudLrKNLWUoa6zTgyV,2018,0,49.566982,-49.56698226928711,49.56698226928711,EXP24-XGB-FINAL-001
3fV2wh1s7PwiClLWHVER7a,2015,0,49.289597,-49.28959655761719,49.28959655761719,EXP24-XGB-FINAL-001
6Tcmitnnkma36DQrSDOTkP,2018,0,49.224487,-49.2244873046875,49.2244873046875,EXP24-XGB-FINAL-001
2p2Q23iaaPSEa1tI6TsCVX,2021,0,49.205772,-49.205772399902344,49.205772399902344,EXP24-XGB-FINAL-001
2LnfTbWHcQKlOSlic3I7QZ,2021,0,49.176575,-49.17657470703125,49.17657470703125,EXP24-XGB-FINAL-001
2OIbNT2h2kHSWx6fH8jvbs,2017,2,51.000484,-49.000484466552734,49.000484466552734,EXP24-XGB-FINAL-001
1KZ95zP63YylKrWMHH22j9,2018,0,48.73214,-48.732139587402344,48.732139587402344,EXP24-XGB-FINAL-001
61fmdWPvyQcv122r8TNasO,2021,0,48.617416,-48.61741638183594,48.61741638183594,EXP24-XGB-FINAL-001
4WXhZdsgBd7jgRlF7iHPeP,2021,0,48.617275,-48.61727523803711,48.61727523803711,EXP24-XGB-FINAL-001
1t4TNp8nkGUsqYElfBuhzT,2021,0,48.429787,-48.429786682128906,48.429786682128906,EXP24-XGB-FINAL-001
7A3WtZ20YH5UNLd7cGs3MW,2020,0,48.388832,-48.388832092285156,48.388832092285156,EXP24-XGB-FINAL-001
3tQoCD3IB1WBm99oTmJDcW,2021,0,48.310787,-48.310787200927734,48.310787200927734,EXP24-XGB-FINAL-001
4p1D4nsB0UEFRyvWPxWV8B,2021,0,48.310787,-48.310787200927734,48.310787200927734,EXP24-XGB-FINAL-001
1tgN9RGdlN9SMxgHRF6iwg,2021,0,48.30171,-48.30170822143555,48.30170822143555,EXP24-XGB-FINAL-001
