rank,transformed_feature,selected_feature,raw_feature_family,mean_abs_shap,importance_share,mean_signed_shap,median_abs_shap,shap_std,non_zero_rate,positive_rate,negative_rate,mapping_status
1,release_year,release_year,release_year,12.293187842174314,0.5189669941466156,12.293158237836176,12.668851880851687,2.053147063484369,1.0,0.9998,0.0002,MAPPED
2,speechiness_explicit,speechiness_explicit,speechiness×explicit,1.190173181589274,0.05024413573542639,0.7242571081354877,0.3104760639038243,2.341682608061275,1.0,0.1732,0.8268,MAPPED
3,acousticness,acousticness,acousticness,1.1718594692184625,0.04947100736687258,0.860731186306258,1.1685555926877584,1.0460357264410745,1.0,0.8146,0.1854,MAPPED
4,decade,decade,decade,0.9563124212406561,0.04037151218121752,0.9563124212406565,0.9753457433984758,0.1555150796342166,1.0,1.0,0.0,MAPPED
5,duration_min,duration_min,duration_min,0.8656784824268352,0.03654532621564477,-0.6155012957052884,0.2687491795209219,1.8262969299003522,1.0,0.4732,0.5268,MAPPED
6,loudness,loudness,loudness,0.5875666044827732,0.024804605485913178,0.205831993828033,0.46442063584575033,0.7475452262360288,1.0,0.6086,0.3914,MAPPED
7,release_month,release_month,release_month,0.5072333680282827,0.021413272107777596,-0.09226946352414472,0.26000168008929603,0.8080173945442932,1.0,0.5638,0.4362,MAPPED
8,speechiness,speechiness,speechiness,0.5049239960354924,0.02131578007748802,-0.09162520726997928,0.4004905050266703,0.6632754589997253,1.0,0.5056,0.4944,MAPPED
9,tempo,tempo,tempo,0.48127292794003995,0.02031733086517346,-0.1735195337363821,0.44634715047515566,0.5428182099235508,1.0,0.4186,0.5814,MAPPED
10,danceability,danceability,danceability,0.4724103135725274,0.019943188340253323,0.2657497697404799,0.30768955690242783,0.6026074271719354,1.0,0.5768,0.4232,MAPPED
11,loudness_energy,loudness_energy,loudness×energy,0.42665492730962723,0.0180115872307827,0.05485244514568151,0.3606126821376904,0.5401156935783556,1.0,0.6436,0.3564,MAPPED
12,release_month_sin,release_month_sin,release_month,0.3771511943091145,0.01592174659350104,0.16770273345943307,0.33620335702223036,0.4111028855999446,1.0,0.618,0.382,MAPPED
