case_id,track_id,transformed_feature,selected_feature,raw_feature_family,feature_value,shap_value,direction,mapping_status
case_001,1eeJma41NW6cYmDvc70Y3J,release_year,release_year,release_year,2014.0,13.035062965032227,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,acousticness,acousticness,acousticness,0.00788,1.4335223934289254,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,decade,decade,decade,2010.0,0.9944874883149053,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,release_month,release_month,release_month,11.0,0.8352927349611184,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,release_month_sin,release_month_sin,release_month,-0.5000000000000004,0.4809077620924044,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,speechiness_explicit,speechiness_explicit,speechiness×explicit,0.0,-0.33676938841511633,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,loudness_energy,loudness_energy,loudness×energy,-4.424839,0.3218886881952084,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,danceability,danceability,danceability,0.594,-0.3214212435046025,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,energy_danceability,energy_danceability,energy×danceability,0.32135400000000003,0.2772547126744934,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,valence,valence,valence,0.779,-0.2715889774638151,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,key_7,key,key,1.0,-0.24341572876235432,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,duration_min,duration_min,duration_min,3.3507,-0.20907120859967562,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,speechiness,speechiness,speechiness,0.105,-0.163216133170605,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,mode_0,mode,mode,0.0,0.14165722170279185,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,tempo_danceability,tempo_danceability,tempo×danceability,59.42673,-0.10550124714113565,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,energy,energy,energy,0.541,-0.09812302456761228,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,instrumentalness,instrumentalness,instrumentalness,0.0,-0.09632803457798877,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,liveness,liveness,liveness,0.128,0.09184805626823912,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,time_signature_4.0,time_signature,time_signature,1.0,0.07583814503583611,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,energy_liveness,energy_liveness,energy×liveness,0.069248,-0.07300238167260793,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,acousticness_instrumentalness,acousticness_instrumentalness,acousticness×instrumentalness,0.0,0.06404509623394966,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,loudness,loudness,loudness,-8.179,0.06009208226543302,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,release_precision_day,release_precision,release_precision,1.0,0.059424338279453565,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,release_month_cos,release_month_cos,release_month,0.8660254037844384,-0.055301478615384515,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,release_precision_year,release_precision,release_precision,0.0,0.053889092480860136,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,key_6,key,key,0.0,-0.049360008150230804,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,key_2,key,key,0.0,0.045433516605358173,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,key_8,key,key,0.0,-0.043419987949352354,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,tempo,tempo,tempo,100.045,0.04280200561395407,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,key_0,key,key,0.0,0.04222370424818195,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,key_1,key,key,0.0,-0.03921492556846072,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,explicit_False,explicit,explicit,1.0,-0.034840210736117525,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,energy_valence,energy_valence,energy×valence,0.42143900000000006,0.022218812360333955,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,year_in_decade,year_in_decade,release_year,4.0,0.020715286973179585,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,danceability_valence,danceability_valence,danceability×valence,0.46272599999999997,-0.019211177090153696,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,duration_log,duration_log,duration_min,1.4703367516946622,0.0176739822494199,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,key_11,key,key,0.0,-0.012654999321433779,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,mode_1,mode,mode,1.0,0.011806040014197019,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,key_9,key,key,0.0,0.01002460914527132,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,key_10,key,key,0.0,-0.009089846136948125,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,release_precision_month,release_precision,release_precision,0.0,-0.006822376110345916,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,duration_squared,duration_squared,duration_min,11.227190489999998,0.0063510034222325155,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,time_signature_3.0,time_signature,time_signature,0.0,0.0052839093400293856,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,key_5,key,key,0.0,0.0023832377008430393,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,key_3,key,key,0.0,-0.0008679373476146278,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,key_4,key,key,0.0,-7.700172453451416e-05,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,time_signature_5.0,time_signature,time_signature,0.0,-1.2745000349419147e-09,DECREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,time_signature_1.0,time_signature,time_signature,0.0,5.803270249913034e-10,INCREASE_PREDICTION,MAPPED
case_001,1eeJma41NW6cYmDvc70Y3J,explicit_True,explicit,explicit,0.0,7.834150824540605e-11,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,release_year,release_year,release_year,2014.0,10.875825881958008,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,decade,decade,decade,2010.0,0.8277589678764343,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,duration_min,duration_min,duration_min,4.4813,0.48284438252449036,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,mode_0,mode,mode,0.0,0.46621814370155334,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,speechiness,speechiness,speechiness,0.0259,0.4207369387149811,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,loudness_energy,loudness_energy,loudness×energy,-3.3216560000000004,0.3108167350292206,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,tempo,tempo,tempo,117.918,-0.2563823163509369,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,release_month_sin,release_month_sin,release_month,-0.4999999999999997,0.19398634135723114,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,speechiness_explicit,speechiness_explicit,speechiness×explicit,0.0,-0.17337635159492493,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,loudness,loudness,loudness,-6.232,0.15368880331516266,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,key_2,key,key,1.0,0.15262660384178162,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,energy_valence,energy_valence,energy×valence,0.23665200000000003,0.14238020777702332,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,energy,energy,energy,0.533,-0.13974879682064056,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,release_month,release_month,release_month,7.0,0.13339374959468842,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,energy_liveness,energy_liveness,energy×liveness,0.35764300000000004,0.1081894114613533,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,release_month_cos,release_month_cos,release_month,-0.8660254037844388,0.0969381108880043,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,valence,valence,valence,0.444,0.09209998697042465,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,instrumentalness,instrumentalness,instrumentalness,0.0,0.07001784443855286,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,acousticness_instrumentalness,acousticness_instrumentalness,acousticness×instrumentalness,0.0,0.06807980686426163,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,duration_log,duration_log,duration_min,1.7013422991035925,0.049392543733119965,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,time_signature_4.0,time_signature,time_signature,1.0,0.048037782311439514,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,key_1,key,key,0.0,-0.046730149537324905,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,mode_1,mode,mode,1.0,0.04375113919377327,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,release_precision_day,release_precision,release_precision,1.0,0.042712852358818054,INCREASE_PREDICTION,MAPPED
